Capitol Hill,654100
University District,791000
Magnolia,931600
Greenwood,670800
Wallingford,898900
Fremont,765500
Beacon Hill,566100
Admiral,771800
North Beacon Hill,645400
First Hill,437900
Ravenna,842600
Maple Leaf,714300
Minor,724500
North Queen Anne,946400
Belltown,571700
Phinney Ridge,827300
Adams,732900
Green Lake,831300
Bitter Lake,541500
Haller Lake,570300
Columbia City,643200
Broadview,746400
West Woodland,751800
Olympic Hills,556200
Brighton,532800
East Queen Anne,978000
Loyal Heights,767700
High Point,525900
Highland Park,486300
Wedgwood,778500
North College Park,599100
West Queen Anne,1020500
Genesee,689000
Gatewood,661600
Dunlap,470300
South Delridge,459900
Alki,810700
Pinehurst,586200
Lower Queen Anne,664700
Cedar Park,663400
Uptown,463200
Fairmount Park,623400
Mt. Baker,850600
Whittier Heights,761500
Victory Heights,641500
Rainier Beach,504300
Sunset Hill,863300
Bryant,847300
Matthews Beach,802300
Roxhill,531200
South Beacon Hill,493100
Arbor Heights,583500
North Beach,994000
Fauntleroy,788700
Roosevelt,792100
Leschi,924200
Seaview,724500
Madison Valley,848600
Northgate,387400
Holly Park,503600
Madrona,1070200
Laurelhurst,1530500
Mann,755200
Crown Hill,661100
View Ridge,955000
Westlake,658200
Hillman City,558900
North Delridge,534700
Rainier View,421800
Judkins Park,653800
Eastlake,706600
Meadowbrook,699200
Montlake,1177600
South Park,424000
Riverview,543400
Lakewood,757800
Madison Park,1459200
Seward Park,866100
Hawthorne Hills,1088200
Windermere,1457300
Portage Bay,1268600
